engine,group,id,mass_before_kg,mass_after_kg,actual_length_before_m,actual_length_after_m,center_from_grip_after_m,moment_of_inertia_after_kg_m2,grip_to_tip_after_m,review_scope
rust,preset,halberd-1540,9.609455108642578,3.3705737590789795,2.2300000563263893,2.186000066809356,0.6435047388076782,2.4228274822235107,1.2699999809265137,Named/default recipe; see historical assessment for provenance
rust,preset,lucerne-hammer,7.807278633117676,3.2280263900756836,2.1399999037384987,2.0960001526400447,0.6159720420837402,2.1291933059692383,1.220000147819519,Named/default recipe; see historical assessment for provenance
rust,preset,pollaxe,8.748392105102539,3.362035036087036,1.8229999914765358,1.7760001001879573,0.5557674169540405,1.6292976140975952,1.03000009059906,Named/default recipe; see historical assessment for provenance
rust,preset,kriegsspiess,4.180713653564453,3.5328731536865234,3.674999989569187,4.990999179892242,0.4672996997833252,9.454647064208984,2.6349992752075195,Named/default recipe; see historical assessment for provenance
rust,preset,short-spear,4.907624244689941,2.0639946460723877,2.1100001707673073,2.071000057272613,0.4494067430496216,1.2112746238708496,1.2050000429153442,Named/default recipe; see historical assessment for provenance
rust,preset,partisan,7.951870441436768,2.989882230758667,2.2800000086426735,2.2360000191256404,0.6310687065124512,2.305185079574585,1.340000033378601,Named/default recipe; see historical assessment for provenance
rust,preset,glaive,7.823816776275635,2.962935209274292,2.3480000868439674,2.2960002003237605,0.6277022361755371,2.2379279136657715,1.4300001859664917,Named/default recipe; see historical assessment for provenance
rust,preset,hooked-bill,6.499042510986328,3.1873347759246826,2.297999896109104,2.250999885611236,0.6839426159858704,2.662684679031372,1.3299999237060547,Named/default recipe; see historical assessment for provenance
rust,preset,military-fork,7.5028300285339355,2.8250303268432617,2.3400001898407936,2.2909998474642634,0.6025004982948303,2.1889729499816895,1.3549997806549072,Named/default recipe; see historical assessment for provenance
rust,preset,landsknecht-longsword,2.2064216136932373,1.1611735820770264,1.3749999329447746,1.2249999567866325,0.15304403007030487,0.11996466666460037,1.059999942779541,Named/default recipe; see historical assessment for provenance
rust,preset,zweihander,3.765427589416504,2.6616034507751465,1.759999930858612,1.759999930858612,0.29376089572906494,0.7107492685317993,1.4874999523162842,Named/default recipe; see historical assessment for provenance
rust,preset,katzbalger,1.3584988117218018,1.1325976848602295,0.8700000494718552,0.8130000047385693,0.15667657554149628,0.07065965235233307,0.7319999933242798,Named/default recipe; see historical assessment for provenance
rust,preset,grosse-messer,2.410270929336548,1.1656419038772583,1.0929999463260174,1.0929999463260174,0.13031187653541565,0.09083439409732819,0.9474999308586121,Named/default recipe; see historical assessment for provenance
rust,preset,dussack,2.3016180992126465,0.7730699777603149,0.8770000301301479,0.7369999848306179,0.10042066872119904,0.0305279903113842,0.6474999785423279,Named/default recipe; see historical assessment for provenance
rust,preset,estoc,1.5379036664962769,1.0403472185134888,1.3619999438524246,1.3020000010728836,0.16416358947753906,0.11715678870677948,1.149999976158142,Named/default recipe; see historical assessment for provenance
rust,preset,rondel-dagger,0.7800226211547852,0.2951943278312683,0.529000012204051,0.4450000021606684,0.04348145052790642,0.003419388784095645,0.3799999952316284,Named/default recipe; see historical assessment for provenance
rust,preset,reitschwert-1540,2.54321551322937,1.1367835998535156,1.0949999541044235,1.040000006556511,0.1156773790717125,0.06446250528097153,0.9375,Named/default recipe; see historical assessment for provenance
rust,preset,reiter-war-hammer,6.2542290687561035,0.8993810415267944,0.7309999838471413,0.49700002651661634,0.20353470742702484,0.04861526936292648,0.2760000228881836,Named/default recipe; see historical assessment for provenance
rust,preset,hand-axe,5.515039920806885,1.3538233041763306,0.7964001074433327,0.6427999911829829,0.18110133707523346,0.08759395033121109,0.35179999470710754,Named/default recipe; see historical assessment for provenance
rust,preset,flanged-mace,3.6995997428894043,0.8623827695846558,0.9639999270439148,0.5090000033378601,0.22384996712207794,0.06541851907968521,0.4490000009536743,Named/default recipe; see historical assessment for provenance
rust,preset,gothic-flanged-mace,4.005969524383545,1.006746768951416,1.3709999322891235,0.6180000305175781,0.2656705677509308,0.10973147302865982,0.5530000329017639,Named/default recipe; see historical assessment for provenance
rust,catalog,arming_sword,1.746264100074768,0.9112974405288696,1.1750000044703484,0.9660000056028366,0.1586916744709015,0.06712599098682404,0.875,Named/default recipe; see historical assessment for provenance
rust,catalog,baselard,1.5539878606796265,0.584714412689209,0.5910000056028366,0.5760000199079514,0.04379028081893921,0.011867864988744259,0.48500001430511475,Named/default recipe; see historical assessment for provenance
rust,catalog,bauernwehr,1.5216257572174072,0.8945081830024719,0.7329999916255474,0.6279999725520611,0.04801410064101219,0.018348580226302147,0.5349999666213989,Named/default recipe; see historical assessment for provenance
rust,catalog,club,1.7222282886505127,0.9557389616966248,0.7599999904632568,0.7599999904632568,0.1523144543170929,0.07043144851922989,0.44999998807907104,Named/default recipe; see historical assessment for provenance
rust,catalog,falchion,2.4933338165283203,1.0825341939926147,0.9070000015199184,0.8720000348985195,0.17608891427516937,0.08155430108308792,0.7800000309944153,Named/default recipe; see historical assessment for provenance
rust,catalog,flanged_mace,3.6995997428894043,0.8623827695846558,0.9639999270439148,0.5090000033378601,0.22384996712207794,0.06541851907968521,0.4490000009536743,Named/default recipe; see historical assessment for provenance
rust,catalog,halberd,9.609455108642578,3.3705737590789795,2.2300000563263893,2.186000066809356,0.6435047388076782,2.4228274822235107,1.2699999809265137,Named/default recipe; see historical assessment for provenance
rust,catalog,hand_axe,5.515039920806885,1.3538233041763306,0.7964001074433327,0.6427999911829829,0.18110133707523346,0.08759395033121109,0.35179999470710754,Named/default recipe; see historical assessment for provenance
rust,catalog,hunting_spear,4.3589606285095215,2.4701147079467773,2.07000020891428,2.0310000954195857,0.3882012367248535,1.3202458620071411,1.165000081062317,Named/default recipe; see historical assessment for provenance
rust,catalog,katzbalger,1.3584988117218018,1.1325976848602295,0.8700000494718552,0.8130000047385693,0.15667657554149628,0.07065965235233307,0.7319999933242798,Named/default recipe; see historical assessment for provenance
rust,catalog,knife,0.8521152138710022,0.2421584129333496,0.3709999769926071,0.35599999129772186,-0.0025482645723968744,0.001666122698225081,0.26499998569488525,Named/default recipe; see historical assessment for provenance
rust,catalog,kriegsmesser,3.3935680389404297,1.8560357093811035,1.30299998447299,1.3679999224841595,0.272737592458725,0.33433279395103455,1.1899999380111694,Named/default recipe; see historical assessment for provenance
rust,catalog,longsword,2.2064216136932373,1.1611735820770264,1.3749999329447746,1.2249999567866325,0.15304403007030487,0.11996466666460037,1.059999942779541,Named/default recipe; see historical assessment for provenance
rust,catalog,messer,1.9737857580184937,1.066892385482788,0.9730000607669353,0.8780000321567059,0.10440905392169952,0.051588088274002075,0.7800000309944153,Named/default recipe; see historical assessment for provenance
rust,catalog,military_pike,4.180713653564453,3.5328731536865234,3.674999989569187,4.990999179892242,0.4672996997833252,9.454647064208984,2.6349992752075195,Named/default recipe; see historical assessment for provenance
rust,catalog,misericorde,1.1376993656158447,0.3884700834751129,0.6560000032186508,0.5060000270605087,0.018679453060030937,0.004901680164039135,0.4150000214576721,Named/default recipe; see historical assessment for provenance
rust,catalog,rapier,2.54321551322937,1.1367835998535156,1.0949999541044235,1.040000006556511,0.1156773790717125,0.06446250528097153,0.9375,Named/default recipe; see historical assessment for provenance
rust,catalog,rondel_dagger,0.7800226211547852,0.2951943278312683,0.529000012204051,0.4450000021606684,0.04348145052790642,0.003419388784095645,0.3799999952316284,Named/default recipe; see historical assessment for provenance
rust,catalog,spear,4.907624244689941,2.0639946460723877,2.1100001707673073,2.071000057272613,0.4494067430496216,1.2112746238708496,1.2050000429153442,Named/default recipe; see historical assessment for provenance
rust,catalog,utility_knife,0.6529868841171265,0.18900862336158752,0.29599998891353607,0.271000012755394,-0.015046718530356884,0.0008395462646149099,0.18500001728534698,Named/default recipe; see historical assessment for provenance
rust,catalog,walking_staff,1.6344796419143677,1.6344795227050781,1.850000023841858,1.850000023841858,0.006776275113224983,0.46634185314178467,0.925000011920929,Named/default recipe; see historical assessment for provenance
rust,catalog,war_hammer,6.2542290687561035,0.8993810415267944,0.7309999838471413,0.49700002651661634,0.20353470742702484,0.04861526936292648,0.2760000228881836,Named/default recipe; see historical assessment for provenance
rust,catalog,zweihander,3.765427589416504,2.6616034507751465,1.759999930858612,1.759999930858612,0.29376089572906494,0.7107492685317993,1.4874999523162842,Named/default recipe; see historical assessment for provenance
