group,id,precision,concentrated_fraction,penetration_threshold_over_resistance,working_surfaces
preset,halberd-1540,1.8046709129511678,0.6434519303557911,0.8611640138408304,Axe=0.423280;CurvedBeak=1.804671;Spear=1.500000
preset,lucerne-hammer,1.6515544041450778,0.6228627259404006,0.9721085736255286,HammerPoll=0.605263;CurvedBeak=1.574074;Spear=1.651554
preset,pollaxe,1.826647564469914,0.646224024328434,0.8471535563244905,Axe=0.444444;HammerPoll=0.605263;Spear=1.826648
preset,kriegsspiess,1.6515544041450778,0.6228627259404006,0.9721085736255286,Spear=1.651554
preset,short-spear,0.8209916291049582,0.45084865629420084,2.701658746635909,Spear=0.820992
preset,partisan,0.3129218308994969,0.23834003177867089,13.408097039600154,Partisan=0.312922
preset,glaive,0.23053973420124763,0.18734846815076042,23.152829065743944,Glaive=0.230540
preset,hooked-bill,0.31384615384615383,0.2388758782201405,13.338619761630143,Bill=0.313846
preset,military-fork,7.083333333333333,0.8762886597938145,0.16110726643598614,Fork=7.083333
preset,landsknecht-longsword,1.0003923107100823,0.500098058442832,1.99882368319877,Blade=1.000392
preset,zweihander,0.6959606986899564,0.41036369488252333,3.501437293348712,Blade=0.695961
preset,katzbalger,1.0003923107100823,0.500098058442832,1.99882368319877,Blade=1.000392
preset,grosse-messer,0.9306569343065694,0.4820415879017013,2.229081122645136,Blade=0.930657
preset,dussack,0.8330610911466841,0.45446444484049187,2.641333487120338,Blade=0.833061
preset,estoc,2.8846153846153846,0.7425742574257426,0.46684444444444445,Blade=2.884615
preset,rondel-dagger,3.5172413793103448,0.7786259541984732,0.36514801999231067,Blade=3.517241
preset,reitschwert-1540,1.4065085493656921,0.5844602337840935,1.2164735101883892,Blade=1.406509
preset,reiter-war-hammer,2.6020408163265305,0.7223796033994334,0.5320107650903498,HammerPoll=0.898438;FacetedBeak=2.602041
preset,hand-axe,0.5,0.3333333333333333,6.0,Axe=0.500000
preset,flanged-mace,0.1,0.09090909090909091,109.99999999999999,GothicMace=0.100000
preset,gothic-flanged-mace,0.06764705882352941,0.06336088154269973,233.30812854442348,GothicMace=0.067647
catalog,arming_sword,0.8600337268128162,0.46237533998186764,2.514721261053441,Blade=0.860034
catalog,baselard,1.0837229069273269,0.5200897409749133,1.7742036139946173,Blade=1.083723
catalog,bauernwehr,0.8330610911466841,0.45446444484049187,2.641333487120338,Blade=0.833061
catalog,club,0.05714285714285714,0.05405405405405405,323.75000000000006,Cylinder=0.057143
catalog,falchion,0.46262699564586357,0.3162986851897792,6.833947558631295,Blade=0.462627
catalog,flanged_mace,0.1,0.09090909090909091,109.99999999999999,GothicMace=0.100000
catalog,halberd,1.8046709129511678,0.6434519303557911,0.8611640138408304,Axe=0.423280;CurvedBeak=1.804671;Spear=1.500000
catalog,hand_axe,0.5,0.3333333333333333,6.0,Axe=0.500000
catalog,hunting_spear,0.5419766206163655,0.3514817367332874,5.249484813533257,Spear=0.541977
catalog,katzbalger,1.0003923107100823,0.500098058442832,1.99882368319877,Blade=1.000392
catalog,knife,2.7567567567567566,0.7338129496402878,0.4943291041906959,Blade=2.756757
catalog,kriegsmesser,0.48729218421555515,0.3276371579082616,6.2635046520569,Blade=0.487292
catalog,longsword,1.0003923107100823,0.500098058442832,1.99882368319877,Blade=1.000392
catalog,messer,0.75,0.42857142857142855,3.111111111111111,Blade=0.750000
catalog,military_pike,1.6515544041450778,0.6228627259404006,0.9721085736255286,Spear=1.651554
catalog,misericorde,3.8812785388127855,0.7951356407857811,0.32402906574394463,Blade=3.881279
catalog,rapier,1.4065085493656921,0.5844602337840935,1.2164735101883892,Blade=1.406509
catalog,rondel_dagger,3.5172413793103448,0.7786259541984732,0.36514801999231067,Blade=3.517241
catalog,spear,0.8209916291049582,0.45084865629420084,2.701658746635909,Spear=0.820992
catalog,utility_knife,3.684971098265896,0.7865515114127082,0.34501560938100734,Blade=3.684971
catalog,walking_staff,0.011302211302211302,0.011175898931000973,7916.8809073724,"Cylinder fallback (Structure or Grip), length*diameter=1850*44 mm2"
catalog,war_hammer,2.6020408163265305,0.7223796033994334,0.5320107650903498,HammerPoll=0.898438;FacetedBeak=2.602041
catalog,zweihander,0.6959606986899564,0.41036369488252333,3.501437293348712,Blade=0.695961
