"Id","MassKg","LengthM","CenterOfMassFromGripM","MomentOfInertiaKgM2","Balance"
"halberd-1540","9.609455108642578","2.2300000190734863","0.7247799038887024","7.92946720123291","0.7096801400184631"
"lucerne-hammer","7.807278633117676","2.1399998664855957","0.6504052877426147","5.7921576499938965","0.7002695798873901"
"pollaxe","8.748392105102539","1.8229999542236328","0.5868734121322632","4.731329917907715","0.7050878405570984"
"kriegsspiess","4.180713653564453","3.674999952316284","0.555757999420166","7.976407051086426","0.7047293782234192"
"short-spear","4.907624244689941","2.1100001335144043","0.5921372175216675","3.7898619174957275","0.7262575030326843"
"partisan","7.951870441436768","2.2799999713897705","0.7672040462493896","7.708815574645996","0.7293322086334229"
"glaive","7.823816776275635","2.3480000495910645","0.7691205739974976","7.667298316955566","0.683664858341217"
"hooked-bill","6.499042510986328","2.297999858856201","0.6650797724723816","5.831223487854004","0.7053085565567017"
"military-fork","7.5028300285339355","2.3400001525878906","0.753074586391449","7.434140205383301","0.7265779376029968"
"landsknecht-longsword","2.2064216136932373","1.3749998807907104","0.35708221793174744","0.6463785171508789","0.4626082181930542"
"zweihander","3.765427589416504","1.7599999904632568","0.43310368061065674","1.661622166633606","0.4465828239917755"
"katzbalger","1.3584988117218018","0.8700000643730164","0.2408342957496643","0.16103258728981018","0.463693231344223"
"grosse-messer","2.410270929336548","1.0929999351501465","0.32494592666625977","0.5128193497657776","0.48682186007499695"
"dussack","2.3016180992126465","0.8770000338554382","0.27274441719055176","0.3144878149032593","0.4816226363182068"
"estoc","1.5379036664962769","1.3619999885559082","0.29821616411209106","0.38425853848457336","0.42360901832580566"
"rondel-dagger","0.7800226211547852","0.5289999842643738","0.07098086178302765","0.021754508838057518","0.3707031011581421"
"reitschwert-1540","2.54321551322937","1.09499990940094","0.1857660710811615","0.2614717185497284","0.3322718143463135"
"reiter-war-hammer","6.2542290687561035","0.7080000042915344","0.0853392481803894","0.33652743697166443","0.6136652827262878"
"hand-axe","5.515039920806885","0.7300000786781311","0.2508574426174164","0.5757785439491272","0.9101752042770386"
"flanged-mace","3.6995997428894043","0.9639999270439148","0.42678555846214294","0.9709742665290833","0.5828242897987366"
"gothic-flanged-mace","4.005969524383545","1.3709999322891235","0.6089891791343689","2.17983078956604","0.5803794860839844"
"arming_sword","1.746264100074768","1.1749999523162842","0.23565861582756042","0.2950049936771393","0.4237287938594818"
"baselard","1.5539878606796265","0.5910000205039978","0.01571589708328247","0.03916849195957184","0.3223579525947571"
"bauernwehr","1.5216257572174072","0.7329999804496765","0.13604815304279327","0.09547296911478043","0.42636191844940186"
"club","1.7222282886505127","0.7599999904632568","0.22844994068145752","0.1552705019712448","0.6672469973564148"
"falchion","2.4933338165283203","0.9070000052452087","0.2939215302467346","0.3827914893627167","0.49131521582603455"
"flanged_mace","3.6995997428894043","0.9639999270439148","0.42678555846214294","0.9709742665290833","0.5828242897987366"
"halberd","9.609455108642578","2.2300000190734863","0.7247799038887024","7.92946720123291","0.7096801400184631"
"hand_axe","5.515039920806885","0.7300000786781311","0.2508574426174164","0.5757785439491272","0.9101752042770386"
"hunting_spear","4.3589606285095215","2.070000171661377","0.4955782890319824","2.994171619415283","0.7083712816238403"
"katzbalger","1.3584988117218018","0.8700000643730164","0.2408342957496643","0.16103258728981018","0.463693231344223"
"knife","0.8521152138710022","0.3709999918937683","-0.03634253889322281","0.007230039685964584","0.3380295932292938"
"kriegsmesser","3.3935680389404297","1.3029999732971191","0.46002334356307983","1.226889967918396","0.5194616317749023"
"longsword","2.2064216136932373","1.3749998807907104","0.35708221793174744","0.6463785171508789","0.4626082181930542"
"messer","1.9737857580184937","0.9730000495910645","0.24826471507549286","0.28659936785697937","0.46048933267593384"
"military_pike","4.180713653564453","3.674999952316284","0.555757999420166","7.976407051086426","0.7047293782234192"
"misericorde","1.1376993656158447","0.656000018119812","-0.05175277590751648","0.03370016813278198","0.351241797208786"
"rapier","2.54321551322937","1.09499990940094","0.1857660710811615","0.2614717185497284","0.3322718143463135"
"rondel_dagger","0.7800226211547852","0.5289999842643738","0.07098086178302765","0.021754508838057518","0.3707031011581421"
"spear","4.907624244689941","2.1100001335144043","0.5921372175216675","3.7898619174957275","0.7262575030326843"
"utility_knife","0.6529868841171265","0.29600000381469727","-0.046398717910051346","0.004346391186118126","0.41309037804603577"
"walking_staff","1.6344796419143677","1.850000023841858","-5.960464477539063E-08","0.4663650095462799","0.5774727463722229"
"war_hammer","6.2542290687561035","0.7080000042915344","0.0853392481803894","0.33652743697166443","0.6136652827262878"
"zweihander","3.765427589416504","1.7599999904632568","0.43310368061065674","1.661622166633606","0.4465828239917755"
